name,mouse_id,sex,age,fi
LL4-B2B__2020-06-16_SPD__AgedB6-1134,AgedB6-1134,-1,24.0,1.0
LL5-B2B__2020-06-16_SPD__AgedB6-1135,AgedB6-1135,-1,24.0,1.0
LL5-B2B__2020-06-16_SPD__AgedB6-1136,AgedB6-1136,-1,24.0,1.0
LL5-B2B__2020-06-16_SPD__AgedB6-1137,AgedB6-1137,-1,24.0,1.5
LL5-B2B__2020-06-16_SPD__AgedB6-1138,AgedB6-1138,-1,24.0,1.0
LL6-B2B__2020-06-16_SPD__AgedB6-1139,AgedB6-1139,-1,24.0,2.0
LL5-B2B__2020-06-17_SPD__AgedB6-0394,AgedB6-0394,-1,83.0,5.0
LL1-B2B__2020-06-17_SPD__AgedB6-1160,AgedB6-1160,1,16.0,2.0
LL1-B2B__2020-06-17_SPD__AgedB6-1162,AgedB6-1162,1,16.0,1.0
LL1-B2B__2020-06-17_SPD__AgedB6-1167,AgedB6-1167,1,16.0,1.0
LL2-B2B__2020-06-17_SPD__AgedB6-1168,AgedB6-1168,1,16.0,1.5
LL2-B2B__2020-06-17_SPD__AgedB6-1169,AgedB6-1169,1,16.0,1.0
LL2-B2B__2020-06-17_SPD__AgedB6-1170,AgedB6-1170,1,16.0,1.0
LL2-B2B__2020-06-17_SPD__AgedB6-1171,AgedB6-1171,1,16.0,1.5
LL3-B2B__2020-06-17_SPD__AgedB6-1177,AgedB6-1177,1,16.0,1.0
LL3-B2B__2020-06-17_SPD__AgedB6-1179,AgedB6-1179,1,16.0,1.0
LL3-B2B__2020-06-17_SPD__AgedB6-1181,AgedB6-1181,1,97.0,8.0
LL4-B2B__2020-06-17_SPD__AgedB6-1182,AgedB6-1182,1,97.0,6.0
LL4-B2B__2020-06-17_SPD__AgedB6-1183,AgedB6-1183,1,97.0,5.5
LL4-B2B__2020-06-17_SPD__AgedB6-1184,AgedB6-1184,1,97.0,5.0
LL4-B2B__2020-06-17_SPD__AgedB6-1185,AgedB6-1185,1,97.0,6.5
LL5-B2B__2020-06-17_SPD__AgedB6-1293,AgedB6-1293,-1,7.0,1.5
LL5-B2B__2020-06-17_SPD__AgedB6-1294,AgedB6-1294,-1,7.0,1.0
LL5-B2B__2020-06-17_SPD__AgedB6-1295,AgedB6-1295,-1,7.0,1.0
LL6-B2B__2020-06-17_SPD__AgedB6-1296,AgedB6-1296,-1,7.0,1.0
LL2-B2B__2020-06-25_SPD__AgedB6-0437,AgedB6-0437,-1,109.0,7.5
LL2-B2B__2020-06-25_SPD__AgedB6-0438,AgedB6-0438,-1,109.0,5.5
LL2-B2B__2020-06-25_SPD__AgedB6-0439,AgedB6-0439,-1,109.0,5.0
LL3-B2B__2020-06-25_SPD__AgedB6-0440,AgedB6-0440,-1,109.0,6.5
LL3-B2B__2020-06-25_SPD__AgedB6-0441,AgedB6-0441,-1,109.0,7.5
LL3-B2B__2020-06-25_SPD__AgedB6-0442,AgedB6-0442,-1,109.0,8.0
LL3-B2B__2020-06-25_SPD__AgedB6-0443,AgedB6-0443,-1,109.0,7.5
LL4-B2B__2020-06-25_SPD__AgedB6-0445,AgedB6-0445,-1,109.0,5.0
LL4-B2B__2020-06-25_SPD__AgedB6-0446,AgedB6-0446,-1,109.0,6.5
LL1-B2B__2020-06-25_SPD__AgedB6-0665,AgedB6-0665,1,63.0,3.0
LL1-B2B__2020-06-25_SPD__AgedB6-0666,AgedB6-0666,1,63.0,3.5
LL1-B2B__2020-06-25_SPD__AgedB6-0667,AgedB6-0667,1,63.0,3.0
LL1-B2B__2020-06-25_SPD__AgedB6-0668,AgedB6-0668,1,63.0,3.0
LL2-B2B__2020-06-25_SPD__AgedB6-0669,AgedB6-0669,1,63.0,2.5
LL2-B2B__2020-06-25_SPD__AgedB6-0670,AgedB6-0670,1,63.0,4.0
LL2-B2B__2020-06-25_SPD__AgedB6-0671,AgedB6-0671,1,63.0,4.0
LL2-B2B__2020-06-25_SPD__AgedB6-0672,AgedB6-0672,1,63.0,3.5
LL3-B2B__2020-06-25_SPD__AgedB6-0673,AgedB6-0673,1,63.0,3.5
LL3-B2B__2020-06-25_SPD__AgedB6-0674,AgedB6-0674,1,63.0,3.0
LL1-B2B__2020-06-25_SPD__AgedB6-0889,AgedB6-0889,-1,128.0,6.5
LL1-B2B__2020-06-25_SPD__AgedB6-0918,AgedB6-0918,-1,128.0,8.5
LL1-B2B__2020-06-25_SPD__AgedB6-0922,AgedB6-0922,-1,128.0,13.0
LL2-B2B__2020-06-25_SPD__AgedB6-0924,AgedB6-0924,-1,128.0,7.0
LL6-B2B__2020-06-25_SPD__AgedB6-1104,AgedB6-1104,-1,148.0,7.5
LL3-B2B__2020-06-25_SPD__AgedB6-1140,AgedB6-1140,1,23.0,2.0
LL3-B2B__2020-06-25_SPD__AgedB6-1141,AgedB6-1141,1,23.0,2.0
LL4-B2B__2020-06-25_SPD__AgedB6-1142,AgedB6-1142,1,23.0,1.5
LL4-B2B__2020-06-25_SPD__AgedB6-1149,AgedB6-1149,1,23.0,3.0
LL4-B2B__2020-06-25_SPD__AgedB6-1150,AgedB6-1150,1,23.0,2.5
LL4-B2B__2020-06-25_SPD__AgedB6-1151,AgedB6-1151,1,23.0,2.0
LL5-B2B__2020-06-25_SPD__AgedB6-1155,AgedB6-1155,1,23.0,2.0
LL5-B2B__2020-06-25_SPD__AgedB6-1157,AgedB6-1157,1,23.0,2.0
LL4-B2B__2020-06-25_SPD__AgedB6-1195,AgedB6-1195,1,98.0,5.5
LL5-B2B__2020-06-25_SPD__AgedB6-1196,AgedB6-1196,1,98.0,7.0
LL5-B2B__2020-06-25_SPD__AgedB6-1198,AgedB6-1198,1,98.0,4.5
LL6-B2B__2020-06-25_SPD__AgedB6-1202,AgedB6-1202,1,98.0,8.0
LL6-B2B__2020-06-25_SPD__AgedB6-1203,AgedB6-1203,1,98.0,4.5
LL1-B2B__2020-06-26_SPD__AgedB6-0890,AgedB6-0890,-1,128.0,9.0
LL1-B2B__2020-06-26_SPD__AgedB6-0891,AgedB6-0891,-1,128.0,8.5
LL1-B2B__2020-06-26_SPD__AgedB6-0893,AgedB6-0893,-1,128.0,7.5
LL2-B2B__2020-06-26_SPD__AgedB6-0896,AgedB6-0896,-1,128.0,8.0
LL2-B2B__2020-06-26_SPD__AgedB6-0898,AgedB6-0898,-1,128.0,8.0
LL2-B2B__2020-06-26_SPD__AgedB6-0899,AgedB6-0899,-1,128.0,7.5
LL3-B2B__2020-06-26_SPD__AgedB6-1220,AgedB6-1220,-1,99.0,5.5
LL3-B2B__2020-06-26_SPD__AgedB6-1222,AgedB6-1222,-1,99.0,5.0
LL3-B2B__2020-06-26_SPD__AgedB6-1223,AgedB6-1223,-1,99.0,5.0
LL4-B2B__2020-06-26_SPD__AgedB6-1225,AgedB6-1225,-1,99.0,6.0
LL5-B2B__2020-06-26_SPD__AgedB6-1230,AgedB6-1230,-1,99.0,6.5
LL5-B2B__2020-06-26_SPD__AgedB6-1231,AgedB6-1231,-1,99.0,6.5
LL5-B2B__2020-06-26_SPD__AgedB6-1232,AgedB6-1232,-1,99.0,5.5
LL5-B2B__2020-06-26_SPD__AgedB6-1233,AgedB6-1233,-1,99.0,6.0
LL6-B2B__2020-06-26_SPD__AgedB6-1234,AgedB6-1234,-1,99.0,8.0
LL6-B2B__2020-06-26_SPD__AgedB6-1245,AgedB6-1245,-1,99.0,7.5
