name,has_combined_result,has_combined_embedding
LL2-B6__2022-04-29_MFS__DO2026_DO_F_8937,True,True
LL2-B6__2022-04-29_MFS__DO2027_DO_F_8938,True,True
LL2-B6__2022-05-13_MFS__DO1979_DO_F_8907,True,True
LL2-B6__2022-05-13_MFS__DO1980_DO_F_8908,True,True
LL2-B6__2022-05-13_MFS__DO1982_DO_F_8909,True,True
LL2-B6__2023-07-06_MFS__DO2275_DO_F_25079,True,True
LL2-B6__2023-07-06_MFS__DO2277_DO_F_25081,True,True
LL2-B6__2023-07-06_MFS__DO2278_DO_F_25082,True,True
LL2-B6__2023-07-06_MFS__DO2335_DO_M_25051,True,True
LL2-B6__2023-07-06_MFS__DO2338_DO_M_25054,True,True
LL2-B6__2023-07-10_MFS__DO2295_DO_F_25099,True,True
LL2-B6__2023-07-10_MFS__DO2297_DO_F_25101,True,True
LL2-B6__2023-07-10_MFS__DO2298_DO_F_25102,True,True
LL2-B6__2023-07-10_MFS__DO2319_DO_F_25123,True,True
LL2-B6__2023-07-10_MFS__DO2320_DO_F_25124,True,True
LL2-B6__2023-07-10_MFS__DO2321_DO_F_25125,True,True
LL2-B6__2023-07-10_MFS__DO2322_DO_F_25126,True,True
LL3-B2B__2019-09-04_SPD__LL3-1_AgedB6-0375,True,True
LL3-B2B__2019-09-04_SPD__LL3-1_AgedB6-0576,True,True
LL3-B2B__2019-09-04_SPD__LL3-2_AgedB6-0376,True,True
LL3-B2B__2019-09-04_SPD__LL3-2_AgedB6-0577,True,True
LL3-B2B__2019-09-04_SPD__LL3-3_AgedB6-0377,True,True
LL3-B2B__2019-09-04_SPD__LL3-4_AgedB6-0378,True,True
LL3-B2B__2019-09-04_SPD__LL3-4_AgedB6-0579,True,True
LL3-B2B__2019-12-23_SPD__LL3-1_AgedB6-0667,True,True
LL3-B2B__2019-12-23_SPD__LL3-2_AgedB6-0448,True,True
LL3-B2B__2019-12-23_SPD__LL3-2_AgedB6-0668,True,True
LL3-B2B__2019-12-23_SPD__LL3-3_AgedB6-0449,True,True
LL3-B2B__2019-12-23_SPD__LL3-3_AgedB6-0669,True,True
LL3-B2B__2019-12-23_SPD__LL3-4_AgedB6-0450,True,True
LL3-B2B__2019-12-23_SPD__LL3-4_AgedB6-0670,True,True
LL3-B2B__2020-01-02_SPD__LL3-2_AgedB6-0679,True,True
LL3-B2B__2020-01-02_SPD__LL3-2_AgedB6-0756,True,True
LL3-B2B__2020-01-02_SPD__LL3-4_AgedB6-0681,True,True
LL3-B2B__2020-01-02_SPD__LL3-4_AgedB6-0842,True,True
LL3-B2B__2020-01-03_SPD__LL3-1_AgedB6-0860,True,True
LL3-B2B__2020-01-03_SPD__LL3-1_AgedB6-0868,True,True
LL3-B2B__2020-01-03_SPD__LL3-2_AgedB6-0861,True,True
LL3-B2B__2020-01-03_SPD__LL3-2_AgedB6-0869,True,True
LL3-B2B__2020-01-03_SPD__LL3-3_AgedB6-0862,True,True
LL3-B2B__2020-01-03_SPD__LL3-3_AgedB6-0870,True,True
LL3-B2B__2020-01-03_SPD__LL3-4_AgedB6-0863,True,True
LL3-B2B__2020-01-03_SPD__LL3-4_AgedB6-0871,True,True
LL3-B2B__2020-01-16_SPD__LL3-1_AgedB6-0909,True,True
LL3-B2B__2020-01-16_SPD__LL3-2_AgedB6-0911,True,True
LL3-B2B__2020-01-16_SPD__LL3-3_AgedB6-0912,True,True
LL3-B2B__2020-01-16_SPD__LL3-4_AgedB6-0913,True,True
LL3-B2B__2020-01-17_SPD__LL3-1_AgedB6-0901,True,True
LL3-B2B__2020-01-17_SPD__LL3-2_AgedB6-0902,True,True
LL3-B2B__2020-01-17_SPD__LL3-3_AgedB6-0903,True,True
LL3-B2B__2020-01-17_SPD__LL3-4_AgedB6-0904,True,True
LL3-B2B__2020-01-17_SPD__LL3-4_AgedB6-0954,True,True
LL3-B2B__2020-06-15_SPD__AgedB6-0857,True,True
LL3-B2B__2020-06-15_SPD__AgedB6-0858,True,True
LL3-B2B__2020-06-15_SPD__AgedB6-0861,True,True
LL3-B2B__2020-06-15_SPD__AgedB6-1299,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-0745,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-0746,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-0750,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-0751,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-1124,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-1131,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-1132,True,True
LL3-B2B__2020-06-16_SPD__AgedB6-1133,True,True
LL3-B2B__2020-06-17_SPD__AgedB6-1164,True,True
LL3-B2B__2020-06-17_SPD__AgedB6-1165,True,True
LL3-B2B__2020-06-17_SPD__AgedB6-1177,True,True
LL3-B2B__2020-06-17_SPD__AgedB6-1179,True,True
LL3-B2B__2020-06-17_SPD__AgedB6-1181,True,True
LL3-B2B__2020-06-17_SPD__AgedB6-1193,True,True
LL3-B2B__2020-06-17_SPD__AgedB6-1194,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-0440,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-0441,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-0442,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-0443,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-0673,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-0674,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-1140,True,True
LL3-B2B__2020-06-25_SPD__AgedB6-1141,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1212,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1220,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1221,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1222,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1223,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1269,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1270,True,True
LL3-B2B__2020-06-26_SPD__AgedB6-1275,True,True
LL3-B2B__2020-06-29_SPD__AgedB6-1064,True,True
LL3-B2B__2020-06-29_SPD__AgedB6-1067,True,True
LL3-B2B__2020-06-29_SPD__AgedB6-1158,True,True
LL3-B2B__2020-06-29_SPD__AgedB6-1159,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-0541,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-0542,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-0543,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-0546,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-1058,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-1059,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-1060,True,True
LL3-B2B__2020-07-06_SPD__AgedB6-1061,True,True
LL3-B2B__2020-07-07_SPD__AgedB6-0432,True,True
LL3-B2B__2020-07-07_SPD__AgedB6-0955,True,True
LL3-B2B__2020-07-07_SPD__AgedB6-1036,True,True
LL3-B2B__2020-07-07_SPD__AgedB6-1214,True,True
LL3-B2B__2020-07-07_SPD__AgedB6-1215,True,True
LL3-B2B__2020-07-07_SPD__AgedB6-1216,True,True
LL3-B6%202023-07-06_MFS%20DO2340_DO_M_25056,True,True
LL3-B6%202023-07-10_MFS%20DO2324_DO_F_25128,True,True
LL3-B6__2021-06-01_SPD__AgedB6-1418,True,True
LL3-B6__2021-06-01_SPD__AgedB6-1523,True,True
LL3-B6__2021-06-01_SPD__AgedB6-1525,True,True
LL3-B6__2021-06-01_SPD__AgedB6-1531,True,True
LL3-B6__2021-06-07_SPD__AgedB6-1409,True,True
LL3-B6__2021-06-07_SPD__AgedB6-1410,True,True
LL3-B6__2021-06-08_SPD__AgedB6-2203,True,True
LL3-B6__2021-06-08_SPD__AgedB6-2271,True,True
LL3-B6__2021-06-08_SPD__AgedB6-2272,True,True
LL3-B6__2021-06-08_SPD__AgedB6-2273,True,True
LL3-B6__2021-06-08_SPD__AgedB6-2274,True,True
LL3-B6__2021-06-09_SPD__AgedB6-2288,True,True
LL3-B6__2022-04-29_MFS__DO2028_DO_F_8939,True,True
LL3-B6__2022-04-29_MFS__DO2029_DO_F_8940,True,True
LL3-B6__2022-04-29_MFS__DO2030_DO_F_8941,True,True
LL3-B6__2022-05-06_MFS__DO2116_DO_F_8972,True,True
LL3-B6__2022-05-06_MFS__DO2117_DO_F_8973,True,True
LL3-B6__2022-05-06_MFS__DO2118_DO_F_8974,True,True
LL3-B6__2022-05-06_MFS__DO2119_DO_F_8975,True,True
LL3-B6__2023-07-06_MFS__DO2279_DO_F_25083,True,True
LL3-B6__2023-07-06_MFS__DO2281_DO_F_25085,True,True
LL3-B6__2023-07-06_MFS__DO2282_DO_F_25086,True,True
LL3-B6__2023-07-06_MFS__DO2342_DO_M_25057,True,True
LL3-B6__2023-07-06_MFS__DO2343_DO_M_25058,True,True
LL3-B6__2023-07-10_MFS__DO2299_DO_F_25103,True,True
LL3-B6__2023-07-10_MFS__DO2300_DO_F_25104,True,True
LL3-B6__2023-07-10_MFS__DO2301_DO_F_25105,True,True
LL3-B6__2023-07-10_MFS__DO2302_DO_F_25106,True,True
LL3-B6__2023-07-10_MFS__DO2323_DO_F_25127,True,True
LL3-B6__2023-07-10_MFS__DO2325_DO_F_25129,True,True
LL3-B6__2023-07-10_MFS__DO2326_DO_F_25130,True,True
LL4-B2B__2019-09-04_SPD__LL4-1_AgedB6-0388,True,True
LL4-B2B__2019-09-04_SPD__LL4-1_AgedB6-0624,True,True
LL4-B2B__2019-09-04_SPD__LL4-2_AgedB6-0437,True,True
LL4-B2B__2019-09-04_SPD__LL4-2_AgedB6-0625,True,True
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0255,True,False
